neighbourhood_name,frac_dc,frac_dc_res,frac_dc_com,frac_dc_ind,frac_dc_mix,frac_dc_inst,frac_dc_unknown
WINDERMERE,0.1208143533084457,0.11403963268796716,0.0038938506225776135,0.0,0.0028808699979009267,0.0,0.0
KESWICK,0.12070511214024121,0.09800100939263995,0.004021211047455564,0.0,0.018682891700145695,0.0,0.0
WALKER,0.11790747140752622,0.04621170179397436,0.07169576961355185,0.0,0.0,0.0,0.0
MEYOKUMIN,0.114847121213617,0.0,0.06903199648464747,0.0,2.2965753718868586e-05,0.04579215897525066,0.0
CALLINGWOOD SOUTH,0.11377974685741774,0.0,0.11374712587024753,0.0,0.0,0.0,3.2620987170200675e-05
RICHFORD,0.112794773764987,2.789515939267032e-06,2.7717259038178822e-05,0.0,0.11276426699000956,0.0,0.0
YORK,0.1095860809546704,0.004105519165167754,0.10548056178950264,0.0,0.0,0.0,0.0
DOWNTOWN,0.10936779855336141,0.01066115108508866,0.02183932579449331,1.169184452758797e-05,0.07052823738371544,1.6389150104007822e-06,0.0063257535305260215
MILLER,0.10600731110679777,0.0,0.0720023089075943,0.0,0.0,0.034005002199203466,0.0
EDMONTON NORTHLANDS,0.10516661575123026,0.0,0.10516661575123026,0.0,0.0,0.0,0.0
AMBLESIDE,0.10443402061010638,0.007754858059925051,0.013974142928907368,0.04422429785638052,0.012677275778796704,0.0,0.02580344598609674
STONE INDUSTRIAL,0.1036766162728263,0.0,0.1036766162728263,0.0,0.0,0.0,0.0
SPRUCE AVENUE,0.10298740575255987,0.001859618298084744,0.008056702391809889,0.0,0.002811682470324183,0.09025940259234105,0.0
MCINTYRE INDUSTRIAL,0.10246719353543676,0.0,4.128697306507905e-06,0.10246306483813025,0.0,0.0,0.0
DECHENE,0.10143384013674911,0.03276436327010766,0.019134080436013466,0.0,0.04953539643062799,0.0,0.0
GLENRIDDING RAVINE,0.09624272355639862,0.08342269524924024,0.0,0.0,0.012817991987142981,2.036320015406499e-06,0.0
TAMARACK,0.09562960663875822,0.0,0.0,0.0,0.09562960663875822,0.0,0.0
RIVERDALE,0.09543109899314998,0.08460525074953643,3.370422688495353e-07,0.0,0.00984250017323577,0.0,0.0009830110281089468
BELVEDERE,0.0913998199759099,0.0317066876559133,0.04591816857778697,0.012437860133214247,0.0012932244703792756,0.0,4.387913861611645e-05
KEHEEWIN,0.08897287970811871,0.013556126235012128,0.0569944957896253,0.0,3.4948190108027324e-06,0.01837670217818239,4.20606862880968e-05
NORTHMOUNT,0.08849644821109437,0.0,0.08849644821109437,0.0,0.0,0.0,0.0
BARANOW,0.08756424598621201,0.03269683514097684,0.0002916462098038982,0.0,0.0,0.054575764635431276,0.0
CALLAGHAN,0.08648066058232691,0.08647079225022135,0.0,0.0,9.868332105562819e-06,0.0,0.0
CAMERON HEIGHTS,0.08339618014147461,0.07303768343998045,0.010358496701494167,0.0,0.0,0.0,0.0
KAMEYOSEK,0.08305220649398487,0.0,0.00010043094638448103,0.0,0.08295177554760039,0.0,0.0
BEAUMARIS,0.08221515145972148,0.05598768091565249,0.02036201782673457,0.0,0.0,3.3684083692296493e-06,0.005862084308965193
